,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id,tweet_source,tweet_lang,tweet_quote_count,tweet_reply_count,tweet_retweet_count,tweet_favorite_count,source_tweet_text,is_retweet,source_user_screen_name,source_user_name,source_user_location,source_user_followers_count,source_user_friends_count,source_user_listed_count,source_user_favourites_count,source_tweet_created_at,source_tweet_id,source_tweet_source,source_tweet_lang,source_tweet_quote_count,source_tweet_reply_count,source_tweet_retweet_count,source_tweet_favorite_count
3112,"RT @jacobcabe: BREAKING: 48,465 American citizens have died within 14 days of receiving the vaccine according to the Medicare Tracking Syst",BrainSm54418130,Brain Smith,,4,34,0,1009,Fri Oct 01 03:59:45 +0000 2021,1443787694677635073,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"BREAKING: 48,465 American citizens have died within 14 days of receiving the vaccine according to the Medicare Tracking System",True,jacobcabe,Jacob Cabe,,10743.0,1145.0,13.0,2345.0,Fri Oct 01 02:15:25 +0000 2021,1.4437614377934725e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,21.0,22.0,353.0,449.0
3113,"RT @TheBabylonBee: PSA: If You Have Liberals In Your Neighborhood, Remember To Check Your Kids' Halloween Candy For Hidden Vaccines https:/",shanecrips,LudaCrips,"Cincinnati, OH",32,459,1,16179,Fri Oct 01 03:59:45 +0000 2021,1443787696003076099,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"PSA: If You Have Liberals In Your Neighborhood, Remember To Check Your Kids' Halloween Candy For Hidden Vaccines https://t.co/Q5PIq8WFyU",True,TheBabylonBee,The Babylon Bee,,1083511.0,69.0,2972.0,1034.0,Thu Sep 30 17:01:00 +0000 2021,1.4436219147783414e+18,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",en,50.0,49.0,751.0,3511.0
3114,"RT @jackmurphylive: Montgomery County MD City Council is corrupted.

How can Council Member Hans Reimer sponsor bill 34-21 that REQUIRES va",sammmismom,Sammi'smomm,,978,1067,0,180607,Fri Oct 01 03:59:45 +0000 2021,1443787696053293062,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Montgomery County MD City Council is corrupted.

How can Council Member Hans Reimer sponsor bill 34-21 that REQUIRES vaccine mandates for police and firefighters when his wife is a top ranking Pfizer executive??

@MontgomeryCoMD @MoCoCouncilMD

https://t.co/4CW0HjvTUJ https://t.co/H3Aji9yyba",True,jackmurphylive,Jack Murphy  ,"Washington, DC (for now)",147194.0,2339.0,669.0,133577.0,Thu Sep 30 17:26:08 +0000 2021,1.443628242389414e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,7.0,13.0,118.0,380.0
3115,@nekukin616 this is so powerful because if the government offered free tattoos exactly like this one with every COVID vaccine everyone would be immunized by now,bimboids,"The ""Boss Level"" in Ancient Literature",  ,234,93,3,1961,Fri Oct 01 03:59:45 +0000 2021,1443787696078573569,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
3116,All of the United States politicians play doctor &amp; some of yall actually listen n get the vaccine,ieatjiigglytofu,tony,,12,55,0,438,Fri Oct 01 03:59:45 +0000 2021,1443787697303162908,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
3117,"RT @mjblair: I know its not just me, but whenever I hear of a restaurant standing up against the tyranny of masks or vaccine passports or",JayPako,Judith Pakosinski,Willamette Commune of Cascadia,516,2026,12,17734,Fri Oct 01 03:59:46 +0000 2021,1443787697944891392,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en,0,0,0,0,"I know its not just me, but whenever I hear of a restaurant standing up against the tyranny of masks or vaccine passports or whatever, I tend to assume that theyre also not that wild about following the health code.",True,mjblair,Matt Blair,Toronto,5216.0,712.0,144.0,41653.0,Wed Sep 29 16:17:10 +0000 2021,1.4432484979946455e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,138.0,195.0,2429.0,15417.0
3118,Chicomnews: Chinese Vaccine Exports Drop Sharply in August as More Countries Opt for mRNA Jabs #auspol #chinesenews A growing number of governments that initially relied on vaccines from China are now reportedly turning to U.S. and European suppliers for https://t.co/qeBjjiIUhz,BTCNews6,My Eyes Are Up Here,"Woolloongabba, Brisbane",942,4825,4,4728,Fri Oct 01 03:59:46 +0000 2021,1443787699324923909,"<a href=""https://newsoz.org/"" rel=""nofollow"">newsoz</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
3119,RT @CantankerusFemi: One of the what?,FernoP,Nando,Los Angeles,212,155,2,4734,Fri Oct 01 03:59:46 +0000 2021,1443787700209733634,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,One of the what?,True,CantankerusFemi,Fuerte Fonso,,1023.0,482.0,62.0,35681.0,Wed Sep 29 21:35:06 +0000 2021,1.4433285061554463e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,100.0,101.0,3500.0,29930.0
3120,"RT @justin_hart: The @CDCgov could settle questions about the efficacy of the vaccines by releasing the data they have on cases, hospitaliz",DMDent,Dave Dent NO to WEF agendas #NoVaccinePassports,Monmouthshire,2848,5002,14,66560,Fri Oct 01 03:59:46 +0000 2021,1443787700927086592,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"The @CDCgov could settle questions about the efficacy of the vaccines by releasing the data they have on cases, hospitalizations and deaths mapped to granular vaccine status... but they won't. We know that 15.1% of deaths in hospitals were fully vaccinated in MAY! What is it now? https://t.co/g0DbY2W1WS",True,justin_hart,Justin Hart,"San Diego, CA",87812.0,5699.0,1107.0,12175.0,Thu Sep 30 19:33:44 +0000 2021,1.4436603541023007e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,19.0,42.0,402.0,932.0
3121,"RT @JesseKellyDC: Democrats want a $700,000 fine for businesses who dont enforce a vaccine mandate.

The GOP response will be No. And th",Jamilynn123,jamimuse,"Georgia, USA",159,460,0,52786,Fri Oct 01 03:59:46 +0000 2021,1443787700704890880,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Democrats want a $700,000 fine for businesses who dont enforce a vaccine mandate.

The GOP response will be No. And this is why we lose.

The appropriate response is every GOP state legislature passing a $2,000,000 fine for every business that enforces a mandate.

#TheNewRight",True,JesseKellyDC,Jesse Kelly,"Houston, TX",301992.0,991.0,2002.0,91974.0,Fri Oct 01 02:52:52 +0000 2021,1.4437708620716483e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,42.0,73.0,798.0,2753.0
3122,RT @MariskaSchalek1: Didn't we warn you,Enigma0163,Human Bean,The milky-way ,222,241,0,2788,Fri Oct 01 03:59:46 +0000 2021,1443787700964823040,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,Didn't we warn you,True,MariskaSchalek1,Mariska Schalekamp,South of the Africa,4765.0,3800.0,12.0,26543.0,Thu Sep 30 18:59:02 +0000 2021,1.443651619456004e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,3.0,5.0,52.0,72.0
3123,"RT @BordersAgainst: Lorenzo, just 24 years old and a goalkeeper for Campitello, died from a heart attack  ten days after his Pfizer Vaccin",babette_babich,Babette Babich,"Winchester, England",4096,440,183,50178,Fri Oct 01 03:59:46 +0000 2021,1443787701367549953,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"Lorenzo, just 24 years old and a goalkeeper for Campitello, died from a heart attack  ten days after his Pfizer Vaccine.
https://t.co/ML0HldyYXp",True,BordersAgainst,Edinburgh Lothian & Borders Lockdown Sceptics,scotland,5383.0,3175.0,32.0,20887.0,Wed Sep 29 13:34:54 +0000 2021,1.4432076598224896e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,11.0,6.0,106.0,112.0
3124,"RT @FaheemYounus: Yes. You can get COVID after the vaccine but there is a difference

55-year old                      75-year old
UNVACCIN",_faldi_,Faldi (Complete Vacc) - 355,,10,218,0,11792,Fri Oct 01 03:59:47 +0000 2021,1443787701828808707,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Yes. You can get COVID after the vaccine but there is a difference

55-year old                      75-year old
UNVACCINATED        VACCINATED https://t.co/HjDMHfhlI1",True,FaheemYounus,"Faheem Younus, MD","Maryland, USA",513005.0,424.0,1117.0,9879.0,Thu Sep 30 12:40:55 +0000 2021,1.4435564635370168e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,85.0,84.0,2143.0,7148.0
3125,"RT @miamalan: [Thread] 1. #Ramaphosa: 
1. 60% of 60+ and 50% of people of 50-59 years have received at least one #COVID vaccine dose 
2. @h",kgmodisagae,Katlego Modisagae,"Soweto / PMB, South Africa",2088,5004,6,38527,Fri Oct 01 03:59:47 +0000 2021,1443787702059638786,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"[Thread] 1. #Ramaphosa: 
1. 60% of 60+ and 50% of people of 50-59 years have received at least one #COVID vaccine dose 
2. @healthza's goal = to vaccinate 70% of adults by the end of the year. This could save up to 20 000 lives.",True,miamalan,Mia Malan,"Johannesburg, South Africa",24595.0,1498.0,192.0,4766.0,Thu Sep 30 18:16:55 +0000 2021,1.4436410209069711e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2.0,4.0,17.0,40.0
3126,Struggling to understand all this vaccine hesitancy? | Principia Scientific Intl. https://t.co/dT9k4P1qkl,BryanFavata,PremiereEcommerce,"Florida, USA",476,1961,5,12157,Fri Oct 01 03:59:47 +0000 2021,1443787702151913477,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
3127,"RT @BernieSpofforth: ONTARIO - A mother arrested in front of her crying children, because she didnt show a vaccine passport to go into an",Lelecaa3,@Lelecaa,,6294,5153,18,52730,Fri Oct 01 03:59:47 +0000 2021,1443787702822973441,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"ONTARIO - A mother arrested in front of her crying children, because she didnt show a vaccine passport to go into an ice rink!

The vaccine didnt set you free, it allowed the State to own you.

#NoVaccinePassports #COVID19Vic #COVID19 

https://t.co/P9YKgiRUt0",True,BernieSpofforth,Bernie's Tweets,"North West, England",67890.0,2570.0,265.0,86741.0,Thu Sep 30 21:47:44 +0000 2021,1.443694073592914e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,48.0,93.0,295.0,566.0
3128,RT @nytimes: A British clinical trial found no sign of danger in getting a flu shot and a second dose of a Covid-19 vaccine at the same tim,skillmasterssue,Sue Pearson,,36,136,1,13990,Fri Oct 01 03:59:47 +0000 2021,1443787704349696000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,A British clinical trial found no sign of danger in getting a flu shot and a second dose of a Covid-19 vaccine at the same time. The results are welcome news for strained health care workers as flu season hits. https://t.co/O7AwZvByLI,True,nytimes,The New York Times,New York City,50599118.0,852.0,211201.0,18561.0,Fri Oct 01 03:40:05 +0000 2021,1.4437827445097636e+18,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",en,3.0,22.0,45.0,183.0
